key,data_type,lexis_nexis,court_listener,caselaw_access,divide_source,munge_stage,munge_type,munge_file,munge_source,combiner,external,drop,scale,encoder
index,int,TRUE,TRUE,TRUE,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,none
meta,str,TRUE,TRUE,TRUE,none,parse,specific,none,none,FALSE,FALSE,TRUE,FALSE,none
party,bool,TRUE,TRUE,TRUE,header,wrangle,specific,parties.csv,sec_party,FALSE,FALSE,TRUE,FALSE,none
court,int,TRUE,TRUE,TRUE,header,parse,general,court_header.csv,sec_court,FALSE,FALSE,FALSE,FALSE,categorical
docket,list,TRUE,TRUE,TRUE,header,wrangle,general,docket.csv,sec_docket,FALSE,FALSE,TRUE,FALSE,none
cite,matches,TRUE,FALSE,FALSE,header,wrangle,general,cite_section.csv,sec_cite,FALSE,FALSE,TRUE,FALSE,none
notice,bool,TRUE,FALSE,FALSE,header,wrangle,general,notice.csv,sec_notice,FALSE,FALSE,TRUE,FALSE,none
date,str,TRUE,TRUE,TRUE,header,parse,specific,none,sec_date,FALSE,FALSE,TRUE,FALSE,none
year,int,TRUE,TRUE,TRUE,none,none,none,none,none,FALSE,FALSE,FALSE,FALSE,categorical
history,bool,TRUE,FALSE,FALSE,header,none,none,none,sec_history,FALSE,FALSE,TRUE,FALSE,none
future,bool,TRUE,FALSE,FALSE,header,wrangle,general,future.csv,sec_future,FALSE,FALSE,TRUE,FALSE,none
counsel,bool,TRUE,FALSE,FALSE,header,wrangle,general,counsel.csv,sec_counsel,FALSE,FALSE,TRUE,FALSE,none
disposition,bool,TRUE,FALSE,FALSE,header,wrangle,general,disposition.csv,sec_disposition,FALSE,FALSE,TRUE,FALSE,none
author,list,TRUE,TRUE,TRUE,header,wrangle,specific,excess.csv,sec_author,FALSE,FALSE,TRUE,FALSE,none
panel_judges,list,TRUE,TRUE,TRUE,header,wrangle,specific,excess.csv,sec_panel_judges,FALSE,FALSE,FALSE,FALSE,categorical
separate,list,TRUE,TRUE,TRUE,opinion_breaks,wrangle,specific,excess.csv,sec_separate,FALSE,FALSE,TRUE,FALSE,none
crim,bool,TRUE,TRUE,TRUE,none,parse,general,criminal_issues.csv,opinions,FALSE,FALSE,FALSE,FALSE,bool
civ,bool,TRUE,TRUE,TRUE,none,parse,general,civil_issues.csv,opinions,FALSE,FALSE,FALSE,FALSE,bool
gen,bool,TRUE,TRUE,TRUE,none,parse,general,general_issues.csv,opinions,FALSE,FALSE,FALSE,FALSE,bool
knot_gen,bool,TRUE,TRUE,TRUE,none,parse,general,knot_issues.csv,opinions,FALSE,FALSE,FALSE,FALSE,bool
proc,bool,TRUE,TRUE,TRUE,none,parse,general,general_procs.csv,opinions,FALSE,FALSE,FALSE,FALSE,bool
standard,bool,TRUE,TRUE,TRUE,none,parse,general,stan_rev.csv,opinions,FALSE,FALSE,FALSE,FALSE,bool
disposition_op,bool,TRUE,TRUE,TRUE,none,parse,general,op_disp.csv,opinions,FALSE,FALSE,FALSE,FALSE,bool
admin,list,TRUE,TRUE,TRUE,none,parse,general,admin.csv,opinions,FALSE,FALSE,TRUE,FALSE,none
precedent,list,TRUE,TRUE,TRUE,none,parse,general,precedent.csv,opinions,FALSE,FALSE,TRUE,FALSE,none
statute,list,TRUE,TRUE,TRUE,none,parse,general,statute.csv,opinions,FALSE,FALSE,TRUE,FALSE,none
other_cites,list,TRUE,TRUE,TRUE,none,parse,general,other_citations.csv,opinions,FALSE,FALSE,TRUE,FALSE,none
judge_name,str,TRUE,TRUE,TRUE,none,none,none,none,sec_panel_judges,FALSE,FALSE,FALSE,FALSE,categorical
judge_exp,bool,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,TRUE,FALSE,FALSE,bool
judge_attr,str,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,FALSE,FALSE,categorical
judge_demo,int,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,FALSE,TRUE,float
judge_ideo,float,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,FALSE,TRUE,float
panel_num,str,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,FALSE,FALSE,categorical
panel_exp,float,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,FALSE,TRUE,float
panel_attr,str,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,TRUE,FALSE,none
panel_demo,float,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,FALSE,TRUE,float
panel_ideo,float,TRUE,TRUE,TRUE,none,none,none,none,judge_name,FALSE,FALSE,FALSE,TRUE,float
panel_size,int,TRUE,TRUE,TRUE,none,none,none,none,sec_panel_judges,FALSE,FALSE,FALSE,FALSE,none
judge_vote,bool,TRUE,TRUE,TRUE,none,none,none,none,judge_name,TRUE,FALSE,FALSE,FALSE,none
agency,str,TRUE,TRUE,TRUE,none,none,none,agencies.csv,none,TRUE,FALSE,FALSE,FALSE,categorical
type,bool,TRUE,TRUE,TRUE,none,none,none,crim_civ.csv,none,TRUE,FALSE,FALSE,FALSE,bool
pol,float,TRUE,TRUE,TRUE,none,none,none,none,year,FALSE,TRUE,FALSE,TRUE,float
outcome,bool,TRUE,TRUE,TRUE,none,none,none,none,sec_disposition,TRUE,FALSE,FALSE,FALSE,label
refer,list,TRUE,TRUE,TRUE,none,none,none,none,none,TRUE,FALSE,TRUE,FALSE,none
temp,str,TRUE,TRUE,TRUE,none,none,none,none,none,FALSE,FALSE,TRUE,FALSE,none
