keys,DOTALL,IGNORECASE,values
Supreme Court of the United States,y,y,99
U\.S\. Circuit Court for the Districts of California,y,y,9
U\.S\. Circuit Court for the Fifth Circuit,y,y,5
U\.S\. Circuit Court for the First Circuit,y,y,1
U\.S\. Circuit Court for the Fourth Circuit,y,y,4
U\.S\. Circuit Court for the Second Circuit,y,y,2
U\.S\. Circuit Court for the Sixth Circuit,y,y,6
U\.S\. Circuit Court for the Third Circuit,y,y,3
U\.S\. Circuit Courts for the Eighth Circuit,y,y,8
U\.S\. Circuit Courts for the Fifth Circuit,y,y,5
U\.S\. Circuit Courts for the First Circuit,y,y,1
U\.S\. Circuit Courts for the Fourth Circuit,y,y,4
U\.S\. Circuit Courts for the Ninth Circuit,y,y,9
U\.S\. Circuit Courts for the Second Circuit,y,y,2
U\.S\. Circuit Courts for the Seventh Circuit,y,y,7
U\.S\. Circuit Courts for the Sixth Circuit,y,y,6
U\.S\. Circuit Courts for the Third Circuit,y,y,3
U\.S\. Court of Appeals for the District of Columbia Circuit,y,y,12
U\.S\. Court of Appeals for the Eighth Circuit,y,y,8
U\.S\. Court of Appeals for the Eleventh Circuit,y,y,11
U\.S\. Court of Appeals for the Federal Circuit,y,y,13
U\.S\. Court of Appeals for the Fifth Circuit,y,y,5
U\.S\. Court of Appeals for the First Circuit,y,y,1
U\.S\. Court of Appeals for the Fourth Circuit,y,y,4
U\.S\. Court of Appeals for the Ninth Circuit,y,y,9
U\.S\. Court of Appeals for the Second Circuit,y,y,2
U\.S\. Court of Appeals for the Seventh Circuit,y,y,7
U\.S\. Court of Appeals for the Sixth Circuit,y,y,6
U\.S\. Court of Appeals for the Tenth Circuit,y,y,10
U\.S\. Court of Appeals for the Third Circuit,y,y,3
U\.S\. Court of Customs and Patent Appeals,y,y,13
U\.S\. Court of Customs Appeals (later U\.S\. Court of Customs and Patent Appeals),y,y,13
U\.S\. Court of International Trade,y,y,101
U\.S\. Customs Court,y,y,102
"U\.S\. District Court for the Albemarle, Cape Fear & Pamptico Districts of North Carolina",y,y,1001
U\.S\. District Court for the Central District of California,y,y,1002
U\.S\. District Court for the Central District of Illinois,y,y,1003
U\.S\. District Court for the District of Alabama,y,y,1004
U\.S\. District Court for the District of Alaska,y,y,1005
U\.S\. District Court for the District of Arizona,y,y,1006
U\.S\. District Court for the District of Arkansas,y,y,1007
U\.S\. District Court for the District of California,y,y,1008
U\.S\. District Court for the District of Colorado,y,y,1009
U\.S\. District Court for the District of Columbia,y,y,1010
U\.S\. District Court for the District of Columbia (Supreme Court of the District of Columbia),y,y,1011
U\.S\. District Court for the District of Connecticut,y,y,1012
U\.S\. District Court for the District of Delaware,y,y,1013
U\.S\. District Court for the District of Florida,y,y,1014
U\.S\. District Court for the District of Georgia,y,y,1015
U\.S\. District Court for the District of Hawaii,y,y,1016
U\.S\. District Court for the District of Idaho,y,y,1017
U\.S\. District Court for the District of Illinois,y,y,1018
U\.S\. District Court for the District of Indiana,y,y,1019
U\.S\. District Court for the District of Iowa,y,y,1020
U\.S\. District Court for the District of Kansas,y,y,1021
U\.S\. District Court for the District of Kentucky,y,y,1022
U\.S\. District Court for the District of Louisiana,y,y,1023
U\.S\. District Court for the District of Maine,y,y,1024
U\.S\. District Court for the District of Maryland,y,y,1025
U\.S\. District Court for the District of Massachusetts,y,y,1026
U\.S\. District Court for the District of Michigan,y,y,1027
U\.S\. District Court for the District of Minnesota,y,y,1028
U\.S\. District Court for the District of Mississippi,y,y,1029
U\.S\. District Court for the District of Missouri,y,y,1030
U\.S\. District Court for the District of Montana,y,y,1031
U\.S\. District Court for the District of Nebraska,y,y,1032
U\.S\. District Court for the District of Nevada,y,y,1033
U\.S\. District Court for the District of New Hampshire,y,y,1034
U\.S\. District Court for the District of New Jersey,y,y,1035
U\.S\. District Court for the District of New Mexico,y,y,1036
U\.S\. District Court for the District of New York,y,y,1037
U\.S\. District Court for the District of North Carolina,y,y,1038
U\.S\. District Court for the District of North Dakota,y,y,1039
U\.S\. District Court for the District of Ohio,y,y,1040
U\.S\. District Court for the District of Oregon,y,y,1041
U\.S\. District Court for the District of Orleans,y,y,1042
U\.S\. District Court for the District of Pennsylvania,y,y,1043
U\.S\. District Court for the District of Puerto Rico,y,y,1044
U\.S\. District Court for the District of Rhode Island,y,y,1045
U\.S\. District Court for the District of South Carolina,y,y,1046
U\.S\. District Court for the District of South Dakota,y,y,1047
U\.S\. District Court for the District of Tennessee,y,y,1048
U\.S\. District Court for the District of Texas,y,y,1049
U\.S\. District Court for the District of Utah,y,y,1050
U\.S\. District Court for the District of Vermont,y,y,1051
U\.S\. District Court for the District of Virginia,y,y,1052
U\.S\. District Court for the District of Washington,y,y,1053
U\.S\. District Court for the District of West Virginia,y,y,1054
U\.S\. District Court for the District of Wisconsin,y,y,1055
U\.S\. District Court for the District of Wyoming,y,y,1056
U\.S\. District Court for the Eastern District of Arkansas,y,y,1057
U\.S\. District Court for the Eastern District of California,y,y,1058
U\.S\. District Court for the Eastern District of Illinois,y,y,1059
U\.S\. District Court for the Eastern District of Kentucky,y,y,1060
U\.S\. District Court for the Eastern District of Louisiana,y,y,1061
U\.S\. District Court for the Eastern District of Michigan,y,y,1062
U\.S\. District Court for the Eastern District of Missouri,y,y,1063
U\.S\. District Court for the Eastern District of New Jersey,y,y,1064
U\.S\. District Court for the Eastern District of New York,y,y,1065
U\.S\. District Court for the Eastern District of North Carolina,y,y,1066
U\.S\. District Court for the Eastern District of Oklahoma,y,y,1067
U\.S\. District Court for the Eastern District of Pennsylvania,y,y,1068
U\.S\. District Court for the Eastern District of South Carolina,y,y,1069
U\.S\. District Court for the Eastern District of Tennessee,y,y,1070
U\.S\. District Court for the Eastern District of Texas,y,y,1071
U\.S\. District Court for the Eastern District of Virginia,y,y,1072
U\.S\. District Court for the Eastern District of Washington,y,y,1073
U\.S\. District Court for the Eastern District of Wisconsin,y,y,1074
"U\.S\. District Court for the Edenton, New Bern & Wilmington Districts of North Carolina",y,y,1075
U\.S\. District Court for the Middle District of Alabama,y,y,1076
U\.S\. District Court for the Middle District of Florida,y,y,1077
U\.S\. District Court for the Middle District of Georgia,y,y,1078
U\.S\. District Court for the Middle District of Louisiana,y,y,1079
U\.S\. District Court for the Middle District of North Carolina,y,y,1080
U\.S\. District Court for the Middle District of Pennsylvania,y,y,1081
U\.S\. District Court for the Middle District of Tennessee,y,y,1082
U\.S\. District Court for the Northern District of Alabama,y,y,1083
U\.S\. District Court for the Northern District of California,y,y,1084
U\.S\. District Court for the Northern District of Florida,y,y,1085
U\.S\. District Court for the Northern District of Georgia,y,y,1086
U\.S\. District Court for the Northern District of Illinois,y,y,1087
U\.S\. District Court for the Northern District of Indiana,y,y,1088
U\.S\. District Court for the Northern District of Iowa,y,y,1089
U\.S\. District Court for the Northern District of Mississippi,y,y,1090
U\.S\. District Court for the Northern District of New York,y,y,1091
U\.S\. District Court for the Northern District of Ohio,y,y,1092
U\.S\. District Court for the Northern District of Oklahoma,y,y,1093
U\.S\. District Court for the Northern District of Texas,y,y,1094
U\.S\. District Court for the Northern District of West Virginia,y,y,1095
U\.S\. District Court for the Southern District of Alabama,y,y,1096
U\.S\. District Court for the Southern District of California,y,y,1097
U\.S\. District Court for the Southern District of Florida,y,y,1098
U\.S\. District Court for the Southern District of Georgia,y,y,1099
