values,DOTALL,IGNORECASE,keys
amend1_religion,n,n,([Ee]stablishment of [Rr]eligion|Establishment Clause|Free Exercise Clause|free exercise thereof)
amend1_speech,n,n,[Ff]ree [Ss]peech
amend1_general,n,y,"((First|1st) Amendment|U\.S\. Const\. Amend\. I[\.\,])"
amend2,n,y,"((Second|2nd) Amendment|U\.S\. Const\. Amend\. II[\.\,]|right (of the people) to (keep and )bear arms)"
amend4,n,y,"((Fourth|4th) Amendment|U\.S\. Const\. Amend\. IV[\.\,]|reasonable (search|seizure))"
amend5_miranda,n,y,(Miranda rights|Arizona vs?\. Miranda|384 U\.S\. 436)
amend5_general,n,y,"((Fifth|5th) Amendment|U\.S\. Const\. Amend\. V[\.\,])"
amend6,n,y,"((Sixth|6th) Amendment|U\.S\. Const\. Amend\. VI[\.\,])"
amend7,n,y,"((Seventh|7th) Amendment|U\.S\. Const\. Amend\. VII[\.\,])"
amend8,n,y,"((Eighth|8th) Amendment|U\.S\. Const\. Amend\. VII[\.\,]|[Cc]ruel and [Uu]nusual|[Ee]xcessive [Bb]ail)"
amend9,n,y,"((Ninth|9th) Amendment|U\.S\. Const\. Amend\. IX[\.\,])"
amend10,n,y,"((Tenth|10th) Amendment|U\.S\. Const\. Amend\. X[\.\,])"
amend11,n,y,"((Eleventh|11th) Amendment|U\.S\. Const\. Amend\. XI[\.\,])"
amend12,n,y,"((Twelfth|12th) Amendment|U\.S\. Const\. Amend\. XII[\.\,])"
amend13,n,y,"((Thirteenth|13th) Amendment|U\.S\. Const\. Amend\. XIII[\.\,])"
amend14,n,y,"((Fourteenth|14th) Amendment|U\.S\. Const\. Amend\. XIV[\.\,]|[Ee]qual [Pp]rotection)"
amend15,n,y,"((Fifteenth|15th) Amendment|U\.S\. Const\. Amend\. XV[\.\,])"
articlei,n,y,U\.S\. Const\. Art\. I\.
articleii,n,y,U\.S\. Const\. Art\. II\.
articleiii,n,y,U\.S\. Const\. Art\. III\.
aritcleiv,n,y,U\.S\. Const\. Art\. IV\.
expostfacto,n,n,[Ee]x [Pp]ost [Ff]acto
rule_law,n,n,[Rr]ule of [Ll]aw
indian_commerce,n,n,Indian Commerce Clause
