nid,full_name,court,president,party,aba_rating,recess,nom_date,sen_vote_type,sen_vote,start_date,senior_status_date,term_date,court_num,circuit_num,jcs,birth_year,gender,race,woman,minority,pres_num,senate_per,prosecutor,public_def,clerk,scotus_clerk,sg_office,law_prof,end_year,start_year,name_perm1,name_perm2,name_perm3,name_perm4,name_perm5,name_perm6,name_perm7
1394646,"Abrams, Leslie Joyce",U.S. District Court for the Middle District of Georgia,Barack Obama,-1,2,False,2014-03-11,Roll Call, 100/0,2014-11-20,,,1078,11,,1974,Female,African American,True,True,44.0,1.0,True,False,True,False,False,False,2016.0,2014.0,LESLIE JOYCE ABRAMS,LESLIE J ABRAMS,LESLIE ABRAMS,L JOYCE ABRAMS,L J ABRAMS,L ABRAMS,ABRAMS
1393931,"Abrams, Ronnie",U.S. District Court for the Southern District of New York,Barack Obama,-1,2,False,2011-07-28,Roll Call, 96/2,2012-03-23,,,1104,2,,1968,Female,White,True,False,44.0,0.9795918367346939,True,False,True,False,False,False,2016.0,2012.0,RONNIE  ABRAMS,RONNIE  ABRAMS,RONNIE ABRAMS,R  ABRAMS,R  ABRAMS,R ABRAMS,ABRAMS
1376986,"Acker, William Marsh, Jr.",U.S. District Court for the Northern District of Alabama,Ronald Reagan,1,2,False,1982-07-22,Voice,  ,1982-08-18,1996-05-31,2018-06-21,1083,11,,1927,Male,White,False,False,40.0,1.0,False,False,False,False,False,False,2018.0,1982.0,WILLIAM MARSH ACKER,WILLIAM M ACKER,WILLIAM ACKER,W MARSH ACKER,W M ACKER,W ACKER,ACKER
1376991,"Ackerman, Harold Arnold",U.S. District Court for the District of New Jersey,Jimmy Carter,-1,3,False,1979-09-28,Voice,  ,1979-11-02,1994-02-15,2009-12-02,1035,3,,1928,Male,White,False,False,39.0,1.0,True,False,False,False,False,False,2009.0,1979.0,HAROLD ARNOLD ACKERMAN,HAROLD A ACKERMAN,HAROLD ACKERMAN,H ARNOLD ACKERMAN,H A ACKERMAN,H ACKERMAN,ACKERMAN
1376996,"Ackerman, James Waldo",U.S. District Court for the Southern District of Illinois,Gerald Ford,1,3,False,1976-06-18,Voice,  ,1976-07-02,,1979-03-31,1100,7,,1926,Male,White,False,False,38.0,1.0,True,False,False,False,False,False,1979.0,1976.0,JAMES WALDO ACKERMAN,JAMES W ACKERMAN,JAMES ACKERMAN,J WALDO ACKERMAN,J W ACKERMAN,J ACKERMAN,ACKERMAN
1376996,"Ackerman, James Waldo",U.S. District Court for the Central District of Illinois,Gerald Ford,1,0,False,,Voice,  ,1979-03-31,,1984-11-23,1003,7,,1926,Male,White,False,False,38.0,1.0,True,False,False,False,False,False,1984.0,1979.0,JAMES WALDO ACKERMAN,JAMES W ACKERMAN,JAMES ACKERMAN,J WALDO ACKERMAN,J W ACKERMAN,J ACKERMAN,ACKERMAN
1377001,"Acosta, Raymond L.",U.S. District Court for the District of Puerto Rico,Ronald Reagan,1,2,False,1982-09-09,Voice,  ,1982-09-30,1994-06-01,2014-12-23,1044,1,,1925,Male,Hispanic,False,True,40.0,1.0,True,False,False,False,False,False,2014.0,1982.0,RAYMOND L ACOSTA,RAYMOND L ACOSTA,RAYMOND ACOSTA,R L ACOSTA,R L ACOSTA,R ACOSTA,ACOSTA
1377011,"Adams, Arlin Marvin",U.S. Court of Appeals for the Third Circuit,Richard M. Nixon,1,4,False,1969-09-22,Voice,  ,1969-10-02,,1987-01-02,3,3,0.09549999982118607,1921,Male,White,False,False,37.0,1.0,False,False,False,False,False,False,1987.0,1969.0,ARLIN MARVIN ADAMS,ARLIN M ADAMS,ARLIN ADAMS,A MARVIN ADAMS,A M ADAMS,A ADAMS,ADAMS
1377031,"Adams, Henry Lee, Jr.",U.S. District Court for the Middle District of Florida,William J. Clinton,-1,2,False,1993-10-29,Voice,  ,1993-11-24,2010-04-08,,1077,11,,1945,Male,African American,False,True,42.0,1.0,False,True,False,False,False,False,2016.0,1993.0,HENRY LEE ADAMS,HENRY L ADAMS,HENRY ADAMS,H LEE ADAMS,H L ADAMS,H ADAMS,ADAMS
1391781,"Adams, John R.",U.S. District Court for the Northern District of Ohio,George W. Bush,1,2,False,2003-01-07,Roll Call, 91/0,2003-02-12,,,1092,6,,1955,Male,White,False,False,43.0,1.0,True,False,True,False,False,False,2016.0,2003.0,JOHN R ADAMS,JOHN R ADAMS,JOHN ADAMS,J R ADAMS,J R ADAMS,J ADAMS,ADAMS
1390426,"Adelman, Lynn S.",U.S. District Court for the Eastern District of Wisconsin,William J. Clinton,-1,2,False,1997-09-08,Voice,  ,1997-12-23,,,1074,7,,1939,Male,White,False,False,42.0,1.0,False,False,True,False,False,False,2016.0,1997.0,LYNN S ADELMAN,LYNN S ADELMAN,LYNN ADELMAN,L S ADELMAN,L S ADELMAN,L ADELMAN,ADELMAN
1391471,"Africk, Lance M.",U.S. District Court for the Eastern District of Louisiana,George W. Bush,1,3,False,2002-01-23,Roll Call, 97/0,2002-04-17,,,1061,5,,1951,Male,White,False,False,43.0,1.0,True,False,True,False,False,False,2016.0,2002.0,LANCE M AFRICK,LANCE M AFRICK,LANCE AFRICK,L M AFRICK,L M AFRICK,L AFRICK,AFRICK
1392706,"Agee, G. Steven",U.S. Court of Appeals for the Fourth Circuit,George W. Bush,1,3,False,2008-03-13,Roll Call, 96/0,2008-07-01,,,4,4,0.2619999945163727,1952,Male,White,False,False,43.0,1.0,False,False,False,False,False,False,2016.0,2008.0,G STEVEN AGEE,G S AGEE,G AGEE,G STEVEN AGEE,G S AGEE,G AGEE,AGEE
1377046,"Aguilar, Robert Peter",U.S. District Court for the Northern District of California,Jimmy Carter,-1,2,False,1980-04-03,Voice,  ,1980-06-18,1996-04-15,1996-06-24,1084,9,,1931,Male,Hispanic,False,True,39.0,1.0,False,False,False,False,False,False,1996.0,1980.0,ROBERT PETER AGUILAR,ROBERT P AGUILAR,ROBERT AGUILAR,R PETER AGUILAR,R P AGUILAR,R AGUILAR,AGUILAR
1390586,"Aiken, Ann L.",U.S. District Court for the District of Oregon,William J. Clinton,-1,2,False,1997-01-07,Roll Call, 67/30,1998-02-04,,,1041,9,,1951,Female,White,True,False,42.0,0.6907216494845361,True,False,True,False,False,False,2016.0,1998.0,ANN L AIKEN,ANN L AIKEN,ANN AIKEN,A L AIKEN,A L AIKEN,A AIKEN,AIKEN
1377051,"Ainsworth, Robert Andrew, Jr.",U.S. Court of Appeals for the Fifth Circuit,Lyndon B. Johnson,-1,4,False,1966-06-28,Voice,  ,1966-07-22,,1981-12-22,5,5,-0.13449999690055847,1910,Male,White,False,False,36.0,1.0,False,False,False,False,False,False,1981.0,1966.0,ROBERT ANDREW AINSWORTH,ROBERT A AINSWORTH,ROBERT AINSWORTH,R ANDREW AINSWORTH,R A AINSWORTH,R AINSWORTH,AINSWORTH
1377061,"Alaimo, Anthony A.",U.S. District Court for the Southern District of Georgia,Richard M. Nixon,1,2,False,1971-11-29,Voice,  ,1971-12-09,1991-07-01,2009-12-30,1099,11,,1920,Male,White,False,False,37.0,1.0,False,False,False,False,False,False,2009.0,1971.0,ANTHONY A ALAIMO,ANTHONY A ALAIMO,ANTHONY ALAIMO,A A ALAIMO,A A ALAIMO,A ALAIMO,ALAIMO
1377066,"Alarcon, Arthur Lawrence",U.S. Court of Appeals for the Ninth Circuit,Jimmy Carter,-1,2,False,1979-08-28,Voice,  ,1979-11-02,1992-11-21,2015-01-28,9,9,-0.3869999945163727,1925,Male,Hispanic,False,True,39.0,1.0,True,False,False,False,False,True,2015.0,1979.0,ARTHUR LAWRENCE ALARCON,ARTHUR L ALARCON,ARTHUR ALARCON,A LAWRENCE ALARCON,A L ALARCON,A ALARCON,ALARCON
1377071,"Albritton, William Harold III",U.S. District Court for the Middle District of Alabama,George H.W. Bush,1,3,False,1991-03-11,Voice,  ,1991-05-14,2004-05-17,,1076,11,,1936,Male,White,False,False,41.0,1.0,False,False,False,False,False,False,2016.0,1991.0,WILLIAM HAROLD ALBRITTON,WILLIAM H ALBRITTON,WILLIAM ALBRITTON,W HAROLD ALBRITTON,W H ALBRITTON,W ALBRITTON,ALBRITTON
1377076,"Aldisert, Ruggero John",U.S. Court of Appeals for the Third Circuit,Lyndon B. Johnson,-1,3,False,1968-07-17,Voice,  ,1968-07-29,1986-12-31,2014-12-28,3,3,-0.5759999752044678,1919,Male,White,False,False,36.0,1.0,False,False,False,False,False,True,2014.0,1968.0,RUGGERO JOHN ALDISERT,RUGGERO J ALDISERT,RUGGERO ALDISERT,R JOHN ALDISERT,R J ALDISERT,R ALDISERT,ALDISERT
1377081,"Aldrich, Ann",U.S. District Court for the Northern District of Ohio,Jimmy Carter,-1,2,False,1980-03-28,Voice,  ,1980-05-24,1995-05-12,2010-05-02,1092,6,,1927,Female,White,True,False,39.0,1.0,False,False,False,False,False,True,2010.0,1980.0,ANN  ALDRICH,ANN  ALDRICH,ANN ALDRICH,A  ALDRICH,A  ALDRICH,A ALDRICH,ALDRICH
1377086,"Aldrich, Bailey",U.S. Court of Appeals for the First Circuit,Dwight D. Eisenhower,1,0,False,1959-02-26,Voice,  ,1959-09-10,1972-08-31,2002-09-25,1,1,0.17499999701976776,1907,Male,White,False,False,34.0,1.0,False,False,False,False,False,False,2002.0,1959.0,BAILEY  ALDRICH,BAILEY  ALDRICH,BAILEY ALDRICH,B  ALDRICH,B  ALDRICH,B ALDRICH,ALDRICH
1377096,"Alesia, James Henry",U.S. District Court for the Northern District of Illinois,Ronald Reagan,1,2,False,1987-02-02,Voice,  ,1987-05-20,1998-02-01,2003-07-24,1087,7,,1934,Male,White,False,False,40.0,1.0,True,False,False,False,False,False,2003.0,1987.0,JAMES HENRY ALESIA,JAMES H ALESIA,JAMES ALESIA,J HENRY ALESIA,J H ALESIA,J ALESIA,ALESIA
1377101,"Alito, Samuel A., Jr.",U.S. Court of Appeals for the Third Circuit,George H.W. Bush,1,3,False,1990-02-20,Voice,  ,1990-04-30,,2006-01-31,3,3,0.5569999814033508,1950,Male,White,False,False,41.0,1.0,True,False,True,False,True,False,2006.0,1990.0,SAMUEL A ALITO,SAMUEL A ALITO,SAMUEL ALITO,S A ALITO,S A ALITO,S ALITO,ALITO
1377101,"Alito, Samuel A., Jr.",Supreme Court of the United States,George W. Bush,1,3,False,2005-11-10,Roll Call, 58/42,2006-01-31,,,99,99,0.5569999814033508,1950,Male,White,False,False,43.0,0.58,True,False,True,False,True,False,2016.0,2006.0,SAMUEL A ALITO,SAMUEL A ALITO,SAMUEL ALITO,S A ALITO,S A ALITO,S ALITO,ALITO
1393701,"Allen, Arenda Lauretta Wright",U.S. District Court for the Eastern District of Virginia,Barack Obama,-1,2,False,2011-01-05,Roll Call, 96/0,2011-05-12,,,1072,4,,1960,Female,African American,True,True,44.0,1.0,True,True,False,False,False,False,2016.0,2011.0,ARENDA LAURETTA WRIGHT ALLEN,ARENDA L ALLEN,ARENDA ALLEN,A LAURETTA WRIGHT ALLEN,A L ALLEN,A ALLEN,ALLEN
1377106,"Allen, Charles Mengel",U.S. District Court for the Western District of Kentucky,Richard M. Nixon,1,3,False,1971-11-17,Voice,  ,1971-11-30,1985-10-01,2000-01-04,1109,6,,1916,Male,White,False,False,37.0,1.0,True,False,False,False,False,False,2000.0,1971.0,CHARLES MENGEL ALLEN,CHARLES M ALLEN,CHARLES ALLEN,C MENGEL ALLEN,C M ALLEN,C ALLEN,ALLEN
1377121,"Alley, Wayne Edward",U.S. District Court for the Western District of Oklahoma,Ronald Reagan,1,2,False,1985-05-29,Voice,  ,1985-07-11,1999-05-16,,1116,10,,1932,Male,White,False,False,40.0,1.0,False,False,True,False,False,True,2016.0,1985.0,WAYNE EDWARD ALLEY,WAYNE E ALLEY,WAYNE ALLEY,W EDWARD ALLEY,W E ALLEY,W ALLEY,ALLEY
1377126,"Allgood, Clarence W.",U.S. District Court for the Northern District of Alabama,John F. Kennedy,-1,0,True,1962-01-15,Voice,  ,1962-02-09,1973-01-09,1991-11-30,1083,11,,1902,Male,White,False,False,35.0,1.0,False,False,False,False,False,False,1991.0,1962.0,CLARENCE W ALLGOOD,CLARENCE W ALLGOOD,CLARENCE ALLGOOD,C W ALLGOOD,C W ALLGOOD,C ALLGOOD,ALLGOOD
1390376,"Almond, James Lindsay, Jr.",U.S. Court of Customs and Patent Appeals,John F. Kennedy,-1,0,True,1963-01-15,Voice,  ,1963-07-03,1973-03-01,1982-10-01,13,13,,1898,Male,White,False,False,35.0,1.0,True,False,False,False,False,False,1982.0,1963.0,JAMES LINDSAY ALMOND,JAMES L ALMOND,JAMES ALMOND,J LINDSAY ALMOND,J L ALMOND,J ALMOND,ALMOND
1390376,"Almond, James Lindsay, Jr.",U.S. Court of Appeals for the Federal Circuit,John F. Kennedy,-1,0,False,,Voice,  ,1982-10-01,,1986-04-14,13,13,,1898,Male,White,False,False,35.0,1.0,True,False,False,False,False,False,1986.0,1982.0,JAMES LINDSAY ALMOND,JAMES L ALMOND,JAMES ALMOND,J LINDSAY ALMOND,J L ALMOND,J ALMOND,ALMOND
1394711,"Alonso, Jorge Luis",U.S. District Court for the Northern District of Illinois,Barack Obama,-1,2,False,2014-08-05,Voice,  ,2014-12-19,,,1087,7,,1966,Male,Hispanic,False,True,44.0,1.0,False,True,False,False,False,False,2016.0,2014.0,JORGE LUIS ALONSO,JORGE L ALONSO,JORGE ALONSO,J LUIS ALONSO,J L ALONSO,J ALONSO,ALONSO
1377141,"Alsop, Donald Douglas",U.S. District Court for the District of Minnesota,Richard M. Nixon,1,3,False,1974-08-08,Voice,  ,1974-12-20,1992-08-28,,1028,8,,1927,Male,White,False,False,37.0,1.0,False,False,True,False,False,False,2016.0,1974.0,DONALD DOUGLAS ALSOP,DONALD D ALSOP,DONALD ALSOP,D DOUGLAS ALSOP,D D ALSOP,D ALSOP,ALSOP
1390971,"Alsup, William Haskell",U.S. District Court for the Northern District of California,William J. Clinton,-1,3,False,1999-03-24,Voice,  ,1999-08-17,,,1084,9,,1945,Male,White,False,False,42.0,1.0,False,False,True,True,True,False,2016.0,1999.0,WILLIAM HASKELL ALSUP,WILLIAM H ALSUP,WILLIAM ALSUP,W HASKELL ALSUP,W H ALSUP,W ALSUP,ALSUP
1377146,"Altimari, Frank X.",U.S. District Court for the Eastern District of New York,Ronald Reagan,1,2,False,1982-11-23,Voice,  ,1982-12-10,,1985-12-23,1065,2,0.18199999630451202,1928,Male,White,False,False,40.0,1.0,True,False,False,False,False,True,1985.0,1982.0,FRANK X ALTIMARI,FRANK X ALTIMARI,FRANK ALTIMARI,F X ALTIMARI,F X ALTIMARI,F ALTIMARI,ALTIMARI
1377146,"Altimari, Frank X.",U.S. Court of Appeals for the Second Circuit,Ronald Reagan,1,2,False,1985-10-23,Voice,  ,1985-12-17,1996-01-01,1998-07-19,2,2,0.18199999630451202,1928,Male,White,False,False,40.0,1.0,True,False,False,False,False,True,1998.0,1985.0,FRANK X ALTIMARI,FRANK X ALTIMARI,FRANK ALTIMARI,F X ALTIMARI,F X ALTIMARI,F ALTIMARI,ALTIMARI
1391821,"Altonaga, Cecilia M.",U.S. District Court for the Southern District of Florida,George W. Bush,1,2,False,2003-01-15,Roll Call, 91/0,2003-05-07,,,1098,11,,1962,Female,Hispanic,True,True,43.0,1.0,True,False,True,False,False,False,2016.0,2003.0,CECILIA M ALTONAGA,CECILIA M ALTONAGA,CECILIA ALTONAGA,C M ALTONAGA,C M ALTONAGA,C ALTONAGA,ALTONAGA
