keys,dotall,ignorecase,values
CENTRAL DISTRICT OF CALIFORNIA,TRUE,TRUE,CENTRAL DISTRICT OF CALIFORNIA
CENTRAL DISTRICT OF ILLINOIS,TRUE,TRUE,CENTRAL DISTRICT OF ILLINOIS
EASTERN DISTRICT OF ARKANSAS,TRUE,TRUE,EASTERN DISTRICT OF ARKANSAS
EASTERN DISTRICT OF CALIFORNIA,TRUE,TRUE,EASTERN DISTRICT OF CALIFORNIA
EASTERN DISTRICT OF KENTUCKY,TRUE,TRUE,EASTERN DISTRICT OF KENTUCKY
EASTERN DISTRICT OF LOUISIANA,TRUE,TRUE,EASTERN DISTRICT OF LOUISIANA
EASTERN DISTRICT OF MICHIGAN,TRUE,TRUE,EASTERN DISTRICT OF MICHIGAN
EASTERN DISTRICT OF MISSOURI,TRUE,TRUE,EASTERN DISTRICT OF MISSOURI
EASTERN DISTRICT OF NEW YORK,TRUE,TRUE,EASTERN DISTRICT OF NEW YORK
EASTERN DISTRICT OF NORTH CAROLINA,TRUE,TRUE,EASTERN DISTRICT OF NORTH CAROLINA
EASTERN DISTRICT OF OKLAHOMA,TRUE,TRUE,EASTERN DISTRICT OF OKLAHOMA
EASTERN DISTRICT OF PENNSYLVANIA,TRUE,TRUE,EASTERN DISTRICT OF PENNSYLVANIA
EASTERN DISTRICT OF TENNESSEE,TRUE,TRUE,EASTERN DISTRICT OF TENNESSEE
EASTERN DISTRICT OF TEXAS,TRUE,TRUE,EASTERN DISTRICT OF TEXAS
EASTERN DISTRICT OF VIRGINIA,TRUE,TRUE,EASTERN DISTRICT OF VIRGINIA
EASTERN DISTRICT OF WASHINGTON,TRUE,TRUE,EASTERN DISTRICT OF WASHINGTON
EASTERN DISTRICT OF WISCONSIN,TRUE,TRUE,EASTERN DISTRICT OF WISCONSIN
MIDDLE DISTRICT OF ALABAMA,TRUE,TRUE,MIDDLE DISTRICT OF ALABAMA
MIDDLE DISTRICT OF FLORIDA,TRUE,TRUE,MIDDLE DISTRICT OF FLORIDA
MIDDLE DISTRICT OF GEORGIA,TRUE,TRUE,MIDDLE DISTRICT OF GEORGIA
MIDDLE DISTRICT OF LOUISIANA,TRUE,TRUE,MIDDLE DISTRICT OF LOUISIANA
MIDDLE DISTRICT OF NORTH CAROLINA,TRUE,TRUE,MIDDLE DISTRICT OF NORTH CAROLINA
MIDDLE DISTRICT OF PENNSYLVANIA,TRUE,TRUE,MIDDLE DISTRICT OF PENNSYLVANIA
MIDDLE DISTRICT OF TENNESSEE,TRUE,TRUE,MIDDLE DISTRICT OF TENNESSEE
NORTHERN DISTRICT OF ALABAMA,TRUE,TRUE,NORTHERN DISTRICT OF ALABAMA
NORTHERN DISTRICT OF CALIFORNIA,TRUE,TRUE,NORTHERN DISTRICT OF CALIFORNIA
NORTHERN DISTRICT OF FLORIDA,TRUE,TRUE,NORTHERN DISTRICT OF FLORIDA
NORTHERN DISTRICT OF GEORGIA,TRUE,TRUE,NORTHERN DISTRICT OF GEORGIA
NORTHERN DISTRICT OF ILLINOIS,TRUE,TRUE,NORTHERN DISTRICT OF ILLINOIS
NORTHERN DISTRICT OF INDIANA,TRUE,TRUE,NORTHERN DISTRICT OF INDIANA
NORTHERN DISTRICT OF IOWA,TRUE,TRUE,NORTHERN DISTRICT OF IOWA
NORTHERN DISTRICT OF MISSISSIPPI,TRUE,TRUE,NORTHERN DISTRICT OF MISSISSIPPI
NORTHERN DISTRICT OF NEW YORK,TRUE,TRUE,NORTHERN DISTRICT OF NEW YORK
NORTHERN DISTRICT OF OHIO,TRUE,TRUE,NORTHERN DISTRICT OF OHIO
NORTHERN DISTRICT OF OKLAHOMA,TRUE,TRUE,NORTHERN DISTRICT OF OKLAHOMA
NORTHERN DISTRICT OF TEXAS,TRUE,TRUE,NORTHERN DISTRICT OF TEXAS
NORTHERN DISTRICT OF WEST VIRGINIA,TRUE,TRUE,NORTHERN DISTRICT OF WEST VIRGINIA
SOUTHERN DISTRICT OF ALABAMA,TRUE,TRUE,SOUTHERN DISTRICT OF ALABAMA
SOUTHERN DISTRICT OF CALIFORNIA,TRUE,TRUE,SOUTHERN DISTRICT OF CALIFORNIA
SOUTHERN DISTRICT OF FLORIDA,TRUE,TRUE,SOUTHERN DISTRICT OF FLORIDA
SOUTHERN DISTRICT OF GEORGIA,TRUE,TRUE,SOUTHERN DISTRICT OF GEORGIA
SOUTHERN DISTRICT OF INDIANA,TRUE,TRUE,SOUTHERN DISTRICT OF INDIANA
SOUTHERN DISTRICT OF IOWA,TRUE,TRUE,SOUTHERN DISTRICT OF IOWA
SOUTHERN DISTRICT OF MISSISSIPPI,TRUE,TRUE,SOUTHERN DISTRICT OF MISSISSIPPI
SOUTHERN DISTRICT OF NEW YORK,TRUE,TRUE,SOUTHERN DISTRICT OF NEW YORK
SOUTHERN DISTRICT OF OHIO,TRUE,TRUE,SOUTHERN DISTRICT OF OHIO
SOUTHERN DISTRICT OF TEXAS,TRUE,TRUE,SOUTHERN DISTRICT OF TEXAS
SOUTHERN DISTRICT OF WEST VIRGINIA,TRUE,TRUE,SOUTHERN DISTRICT OF WEST VIRGINIA
WESTERN DISTRICT OF ARKANSAS,TRUE,TRUE,WESTERN DISTRICT OF ARKANSAS
WESTERN DISTRICT OF KENTUCKY,TRUE,TRUE,WESTERN DISTRICT OF KENTUCKY
WESTERN DISTRICT OF LOUISIANA,TRUE,TRUE,WESTERN DISTRICT OF LOUISIANA
WESTERN DISTRICT OF MICHIGAN,TRUE,TRUE,WESTERN DISTRICT OF MICHIGAN
WESTERN DISTRICT OF MISSOURI,TRUE,TRUE,WESTERN DISTRICT OF MISSOURI
WESTERN DISTRICT OF NEW YORK,TRUE,TRUE,WESTERN DISTRICT OF NEW YORK
WESTERN DISTRICT OF NORTH CAROLINA,TRUE,TRUE,WESTERN DISTRICT OF NORTH CAROLINA
WESTERN DISTRICT OF OKLAHOMA,TRUE,TRUE,WESTERN DISTRICT OF OKLAHOMA
WESTERN DISTRICT OF PENNSYLVANIA,TRUE,TRUE,WESTERN DISTRICT OF PENNSYLVANIA
WESTERN DISTRICT OF TENNESSEE,TRUE,TRUE,WESTERN DISTRICT OF TENNESSEE
WESTERN DISTRICT OF TEXAS,TRUE,TRUE,WESTERN DISTRICT OF TEXAS
WESTERN DISTRICT OF VIRGINIA,TRUE,TRUE,WESTERN DISTRICT OF VIRGINIA
WESTERN DISTRICT OF WASHINGTON,TRUE,TRUE,WESTERN DISTRICT OF WASHINGTON
