values,dotall,ignorecase,keys
amend1_religion,FALSE,FALSE,([Ee]stablishment of [Rr]eligion|Establishment Clause|Free Exercise Clause|free exercise thereof)
amend1_speech,FALSE,FALSE,[Ff]ree [Ss]peech
amend1_general,FALSE,TRUE,"((First|1st) Amendment|U\.S\. Const\. Amend\. I[\.\,])"
amend2,FALSE,TRUE,"((Second|2nd) Amendment|U\.S\. Const\. Amend\. II[\.\,]|right (of the people) to (keep and )bear arms)"
amend4,FALSE,TRUE,"((Fourth|4th) Amendment|U\.S\. Const\. Amend\. IV[\.\,]|reasonable (search|seizure))"
amend5_miranda,FALSE,TRUE,(Miranda rights|Arizona vs?\. Miranda|384 U\.S\. 436)
amend5_general,FALSE,TRUE,"((Fifth|5th) Amendment|U\.S\. Const\. Amend\. V[\.\,])"
amend6,FALSE,TRUE,"((Sixth|6th) Amendment|U\.S\. Const\. Amend\. VI[\.\,])"
amend7,FALSE,TRUE,"((Seventh|7th) Amendment|U\.S\. Const\. Amend\. VII[\.\,])"
amend8,FALSE,TRUE,"((Eighth|8th) Amendment|U\.S\. Const\. Amend\. VII[\.\,]|[Cc]ruel and [Uu]nusual|[Ee]xcessive [Bb]ail)"
amend9,FALSE,TRUE,"((Ninth|9th) Amendment|U\.S\. Const\. Amend\. IX[\.\,])"
amend10,FALSE,TRUE,"((Tenth|10th) Amendment|U\.S\. Const\. Amend\. X[\.\,])"
amend11,FALSE,TRUE,"((Eleventh|11th) Amendment|U\.S\. Const\. Amend\. XI[\.\,])"
amend12,FALSE,TRUE,"((Twelfth|12th) Amendment|U\.S\. Const\. Amend\. XII[\.\,])"
amend13,FALSE,TRUE,"((Thirteenth|13th) Amendment|U\.S\. Const\. Amend\. XIII[\.\,])"
amend14,FALSE,TRUE,"((Fourteenth|14th) Amendment|U\.S\. Const\. Amend\. XIV[\.\,]|[Ee]qual [Pp]rotection)"
amend15,FALSE,TRUE,"((Fifteenth|15th) Amendment|U\.S\. Const\. Amend\. XV[\.\,])"
articlei,FALSE,TRUE,U\.S\. Const\. Art\. I\.
articleii,FALSE,TRUE,U\.S\. Const\. Art\. II\.
articleiii,FALSE,TRUE,U\.S\. Const\. Art\. III\.
aritcleiv,FALSE,TRUE,U\.S\. Const\. Art\. IV\.
expostfacto,FALSE,FALSE,[Ee]x [Pp]ost [Ff]acto
rule_law,FALSE,FALSE,[Rr]ule of [Ll]aw
indian_commerce,FALSE,FALSE,Indian Commerce Clause
standing,TRUE,FALSE,(?<!was )(?<!is )(?<!not )(?<!been )standing
ripeness,TRUE,FALSE,[Rr]ipeness
commerce_clause,TRUE,FALSE,(?<!Indian )Commerce Clause
