section,datatype,values,dotall,ignorecase,keys
author,remove,author,TRUE,TRUE,OPINION BY\:|FOR THE COURT|PER CURIAM 
author,custom,author,TRUE,TRUE,judges
cites,patterns,f3d,TRUE,TRUE,\d+ F\. ?3d \d+
cites,patterns,f2d,TRUE,TRUE,\d+ F\. ?2d \d+
cites,patterns,lexis,TRUE,TRUE,\d+ U\.S\. APP\. LEXIS \d+
cites,patterns,fappx,TRUE,TRUE,\d+ Fed\. Appx\. \d+
counsel,bool,us_atty,TRUE,TRUE,U(\.|NITED) ?S(\.|TATES) Attorney
counsel,bool,fed_pub_def,TRUE,TRUE,Federal Public Defender
court,int,999,TRUE,TRUE,BANKRUPTCY APPELLATE
court,int,1,TRUE,TRUE,FIRST CIRCUIT
court,int,2,TRUE,TRUE,SECOND CIRCUIT
court,int,3,TRUE,TRUE,THIRD CIRCUIT
court,int,4,TRUE,TRUE,FOURTH CIRCUIT
court,int,5,TRUE,TRUE,FIFTH CIRCUIT
court,int,6,TRUE,TRUE,SIXTH CIRCUIT
court,int,7,TRUE,TRUE,SEVENTH CIRCUIT
court,int,8,TRUE,TRUE,EIGHTH CIRCUIT
court,int,9,TRUE,TRUE,NINTH CIRCUIT
court,int,10,TRUE,TRUE,TENTH CIRCUIT
court,int,11,TRUE,TRUE,ELEVENTH CIRCUIT
court,int,12,TRUE,TRUE,DISTRICT OF COLUMBIA
court,int,12,TRUE,TRUE,D\.C\.
court,int,13,TRUE,TRUE,FEDERAL CIRCUIT
court,int,998,TRUE,TRUE,TEMPORARY EMERGENCY
dates,custom,dates,FALSE,TRUE,"(?:\d\d*)? ?(?:JAN(?:\.|UARY)|FEB(?:\.|RUARY)|MAR(?:\.|CH)|APR(?:\.|IL)|MAY |JUN(?:\.|E)|JUL(?:\.|Y)|AUG(?:\.|UST)|SEP(?:\.|T\.|TEMBER)|OCT(?:\.|OBER)|NOV(?:\.|EMBER)|DEC(?:\.|EMBER)).*? (?:\d\d*\, )?\d\d\d\d"
disposition,bool,affirm,TRUE,TRUE,AFFIRM
disposition,bool,reverse,TRUE,TRUE,REVERSE
disposition,bool,vacate,TRUE,TRUE,VACATE
disposition,bool,remand,TRUE,TRUE,REMAND
disposition,bool,dismiss,TRUE,TRUE,DISMISS
disposition,bool,denied,TRUE,TRUE,DENIED
disposition,bool,order_enforced,TRUE,TRUE,Order of the National Labor Relations Board enforced
docket,patterns,numbers,TRUE,TRUE,(\d+\-\d+)
"docket, history",bool,crim,TRUE,TRUE,(\W|\d)cr
"docket, history",bool,civ,TRUE,TRUE,(\W|\d)ci?v
future,bool,cert_petit,TRUE,TRUE,(certior|Supreme Court)
future,bool,en_banc_motion,TRUE,TRUE,en banc
future,bool,grant,TRUE,TRUE,(grant|approve|issued)
future,bool,deny,TRUE,TRUE,(denied|denial)
future,bool,remand,TRUE,TRUE,remand
"history, party1, party2",pattern,AIR FORCE COURT OF CRIMINAL APPEALS,TRUE,TRUE,AIR FORCE COURT OF CRIMINAL APPEALS
"history, party1, party2",pattern,ARMED SERVICES BOARD OF CONTRACT APPEALS,TRUE,TRUE,ARMED SERVICES BOARD OF CONTRACT APPEALS
"history, party1, party2",pattern,ARMY COURT OF CRIMINAL APPEALS,TRUE,TRUE,ARMY COURT OF CRIMINAL APPEALS
"history, party1, party2",pattern,BOARD OF IMMIGRATION APPEALS,TRUE,TRUE,BOARD OF IMMIGRATION APPEALS
"history, party1, party2",pattern,BOARD OF VETERANS APPEALS,TRUE,TRUE,BOARD OF VETERANS APPEALS
"history, party1, party2",pattern,BOARDS OF CONTRACT APPEALS,TRUE,TRUE,BOARDS OF CONTRACT APPEALS
"history, party1, party2",pattern,CIVILIAN BOARD OF CONTRACT APPEALS,TRUE,TRUE,CIVILIAN BOARD OF CONTRACT APPEALS
"history, party1, party2",pattern,COAST GUARD,TRUE,TRUE,COAST GUARD
