regex,dotall,ignorecase,num,folder_name,formal_name
Supreme Court of the United States,TRUE,TRUE,1,supreme_court,Supreme Court of the United States
U\.S\. Circuit Court for the Districts of California,TRUE,TRUE,109,circuit_districts_of_california,U.S. Circuit Court for the Districts of California
U\.S\. Circuit Court for the Fifth Circuit,TRUE,TRUE,105,fifth_circuit,U.S. Circuit Court for the Fifth Circuit
U\.S\. Circuit Court for the First Circuit,TRUE,TRUE,101,first_circuit,U.S. Circuit Court for the First Circuit
U\.S\. Circuit Court for the Fourth Circuit,TRUE,TRUE,104,fourth_circuit,U.S. Circuit Court for the Fourth Circuit
U\.S\. Circuit Court for the Second Circuit,TRUE,TRUE,102,second_circuit,U.S. Circuit Court for the Second Circuit
U\.S\. Circuit Court for the Sixth Circuit,TRUE,TRUE,106,sixth_circuit,U.S. Circuit Court for the Sixth Circuit
U\.S\. Circuit Court for the Third Circuit,TRUE,TRUE,103,third_circuit,U.S. Circuit Court for the Third Circuit
U\.S\. Circuit Courts for the Eighth Circuit,TRUE,TRUE,108,eighth_circuit,U.S. Circuit Courts for the Eighth Circuit
U\.S\. Circuit Courts for the Fifth Circuit,TRUE,TRUE,105,fifth_circuit,U.S. Circuit Courts for the Fifth Circuit
U\.S\. Circuit Courts for the First Circuit,TRUE,TRUE,101,first_circuit,U.S. Circuit Courts for the First Circuit
U\.S\. Circuit Courts for the Fourth Circuit,TRUE,TRUE,104,fourth_circuit,U.S. Circuit Courts for the Fourth Circuit
U\.S\. Circuit Courts for the Ninth Circuit,TRUE,TRUE,109,ninth_circuit,U.S. Circuit Courts for the Ninth Circuit
U\.S\. Circuit Courts for the Second Circuit,TRUE,TRUE,102,second_circuit,U.S. Circuit Courts for the Second Circuit
U\.S\. Circuit Courts for the Seventh Circuit,TRUE,TRUE,107,seventh_circuit,U.S. Circuit Courts for the Seventh Circuit
U\.S\. Circuit Courts for the Sixth Circuit,TRUE,TRUE,106,sixth_circuit,U.S. Circuit Courts for the Sixth Circuit
U\.S\. Circuit Courts for the Third Circuit,TRUE,TRUE,103,third_circuit,U.S. Circuit Courts for the Third Circuit
