values,dotall,ignorecase,keys
APA,FALSE,TRUE,ADMINISTRATIVE PROCEDURE ACT §§* \d\d*.?\b
Fed_App_P,FALSE,TRUE,FED\. R\. APP\. §§* \d\d*.?(?=\W?)
Fed_Civ_P,FALSE,TRUE,FED(?:\.|ERAL) R(?:\.|ULE) (?:OF )?CIV(?:\.|IL) P(?:\.|ROC\.|ROCEDURE) §§* \d\d*.*?(?:\(\w)?\)?
Fed_Crim_P,FALSE,TRUE,FED(?:\.|ERAL) R(?:\.|ULE) (?:OF )?CRIM(?:\.|INAL) P(?:\.|ROC\.|ROCEDURE) §§* \d\d*.*?(?:\(\w)?\)?
Fed_Evid,FALSE,TRUE,FED(?:\.|ERAL) R(?:\.|ULE) (?:OF )?EV?:(\.|IDENCE) §§* \d\d*.*?(\(?:\w)?\)?
IRC,FALSE,FALSE,I.R.C. §§* \d\d*.?(?=\W?)
statute_pat,FALSE,FALSE,\b\d*. U\.S\.C\.[SC]?\.? §§* \d\d*.*?(?=\W?)
UCC,FALSE,FALSE,U.C.C. §§* \d\d*.?(?=\W?)
Unif_Adopt,FALSE,TRUE,UNIF. ADOPTION ACT §§* \d\d*.?(?=\W?)
Unif_Probate,FALSE,TRUE,UNIF. PROBATE CODE §§* \d\d*.?(?=\W?)
Unif_Trust,FALSE,TRUE,UNIF. TRUST CODE §§* \d\d*.?(?=\W?)
