name,values,circuit,keys
"Adams, Arlin M.",0.0955,3,1377011
"Agee, G. Steven",0.262,4,1392706
"Ainsworth, Robert",-0.1345,5,1377051
"Alarcon, Arthur L.",-0.387,9,1377066
"Aldisert, Ruggero",-0.576,3,1377076
"Aldrich, Bailey",0.175,1,1377086
"Alito, Samuel A., Jr.",0.557,3,1377101
"Allen, Florence",-0.242,6,1377111
"Altimari, Frank X.",0.182,2,1377146
"Ambro, Thomas",-0.314,3,1391086
"Anderson, J. Blaine",0.492,9,1377201
"Anderson, R. Lanier, III",-0.118,5,1377211
"Anderson, Robert P.",-0.2645,2,1377216
"Anderson, Stephen H.",0.4385,10,1377221
"Arnold, Morris S.",0.381,8,1377266
"Arnold, Richard S.",-0.342,8,1377271
"Bacharach, Robert",-0.354,10,1394126
"Baldock, Bobby R.",0.257,10,1377376
"Barkett, Rosemary",-0.231,11,1377446
"Barksdale, Rhesa H.",0.3385,5,1377451
"Barnes, Stanley",0.1625,9,1377486
"Barrett, James E.",0.489,10,1377496
"Barron, David",-0.52125,1,1394531
"Barry, Maryanne",-0.322,3,1377511
"Bastian, Walter M.",0.281,12,1377541
"Batchelder, Alice M.",0.557,6,1377546
"Bauer, William J.",0.099,7,1377576
"Bazelon, David",-0.374,12,1377591
"Bea, Carlos",0.693,9,1392016
"Beam, Clarence A.",0.345,8,1377596
"Becker, Edward R.",0.073,3,1377646
"Beezer, Robert R.",0.255,9,1377681
"Bell, Griffin",-0.042999998,5,1377691
"Bell, Jesse S.",-0.067,4,1377696
"Benavides, Fortunato Pedro",-0.117,5,1377731
"Benton, William",0.337,8,1392186
"Berzon, Marsha",-0.35799998,9,1391116
"Biggs, John Jr.",-0.611,3,1377816
"Birch, Stanley F., Jr.",0.557,11,1377846
"Black, Susan H.",0.466,11,1377886
"Blackmun, Harry Andrew",0.281,8,1377901
"Boggs, Danny J.",0.404,6,1377976
"Bone, Homer",-0.26833332,9,1378006
"Boochever, Robert",-0.284,9,1378021
"Borah, Wayne G.",-0.1345,5,1378036
"Boreman, Herbert S.",0.281,4,1378041
"Bork, Robert",0.692,12,1378046
"Boudin, Michael",0.557,1,1378056
"Bowman, Pasco M.",0.196,8,1378081
"Bownes, Hugh",-0.3545,1,1378086
"Bratton, Sam Gilbert",-0.20449999,10,1378186
"Breitenstein, Jean",0.308,10,1378201
"Breyer, Stephen G.",-0.413,1,1378241
"Bright, Myron",-0.371,8,1378261
"Briscoe, Mary",-0.438,10,1378281
"Brooks, Henry L.",0.103,6,1378346
"Brorby, Wade",0.44849998,10,1378356
"Brown, Bailey",-0.355,6,1378376
"Brown, Janice Rogers",0.693,12,1392276
"Brown, John R.",0.281,5,1378391
"Browning, James Robert",-0.46100003,9,1378416
"Brunetti, Melvin T.",0.4905,9,1378436
"Bryan, Albert V., I",0.133,4,1378441
"Bryson, William C.",-0.438,13,1378491
"Buckley, James L.",0.692,12,1378511
"Burger, Warren Earl",0.281,12,1378561
"Butzner, John",-0.047000002,4,1378651
"Bybee, Jay",0.693,9,1391741
"Bye, Kermit",-0.28149998,8,1391096
"Cabranes, Jose Alberto",-0.2665,2,1378686
"Calabresi, Guido",-0.2665,2,1378726
"Callahan, Consuelo",0.693,9,1391846
"Cameron, Benjamin",0.281,5,1378761
"Campbell, Levin H.",-0.1,1,1378781
"Canby, William C.",-0.216,9,1378816
"Cardamone, Richard J.",0.182,2,1378831
"Carnes, Edward E.",0.557,11,1378846
"Carnes, Julie",-0.354,11,1378851
"Carney, Susan",-0.352,2,1393711
"Carswell, George H.",0.306,5,1378896
"Carter, James M.",-0.337,9,1378906
"Castle, Latham",0.317,7,1378951
"Cecil, Lester L.",0.281,6,1378981
"Celebrezze, Anthony",-0.069000006,6,1378991
"Chagares, Michael",0.693,3,1392371
"Chambers, Richard H.",0.641,9,1379001
"Chapman, Robert F.",0.391,4,1379011
"Chase, Harrie B.",0.513,2,1379021
"Chen, Raymond",-0.354,13,1394261
"Chertoff, Michael",0.693,3,1391851
"Chin, Denny",-0.36900002,2,1379061
"Choy, Herbert Y.",0.165,9,1379086
"Christen, Morgan",-0.235,9,1393881
"Clark, Bennett C.",-0.368,12,1379136
"Clark, Charles",0.552,5,1379141
"Clark, Charles Edward",-0.156,2,1379151
"Clark, Thomas A.",-0.1965,5,1379171
"Clay, Eric",-0.395,6,1390456
"Clayton, Claude",-0.016,5,1379211
"Clement, Edith Brown",0.693,5,1379226
"Clevenger, Raymond C.",0.557,13,1379236
"Clifton, Richard R.",0.693,9,1391546
"Coffey, John L.",0.261,7,1379281
"Coffin, Frank",-0.379,1,1379286
"Cole, Ransey Guy",-0.262,6,1379321
"Coleman, James P.",-0.016,5,1379331
"Collet, John",-0.374,8,1379341
"Colloton, Steven",0.342,8,1391956
"Combs, Bert T.",-0.337,6,1379376
"Contie, Leroy J.",0.692,6,1379451
"Cook, Deborah",0.264,6,1391826
"Costa, Gregg",-0.354,5,1393961
"Cowen, Robert E.",0.692,3,1379556
"Cox, Emmett R.",0.692,11,1379566
"Craven, James",-0.067,4,1379621
"Cudahy, Richard D.",-0.333,7,1379656
"Cummings, Walter",-0.58,7,1379666
"Cyr, Conrad F.",0.1,1,1379716
"Danaher, John A.",0.281,12,1379741
"Daughtrey, Martha Craig",-0.3395,6,1379771
"Davis, Andre",-0.349,4,1379806
"Davis, W. Eugene",0.692,5,1379861
"DeMoss, Harold R., Jr.",0.551,5,1379961
"Denman, William",-0.179,9,1379971
"Dennis, James",-0.1575,5,1379981
"Diaz, Albert",-0.202,4,1393541
"Dobie, Armistead",-0.058,4,1380081
"Donald, Bernice",-0.354,6,1380106
"Doyle, William E.",0.3385,10,1380176
"Droney, Christopher",-0.313,2,1390466
"Dubina, Joel F.",0.557,11,1380211
"Duffy, Francis Ryan",-0.374,7,1380231
"Duhe, John M.",0.692,5,1380251
"Duncan, Allyson",0.363,4,1391911
"Duniway, Benjamin",-0.219,9,1380276
"Dyer, David W.",-0.067,5,1380326
"Dyk, Timothy B.",-0.438,13,1391141
"Easterbrook, Frank H.",0.692,7,1380341
"Ebel, David M.",0.508,10,1380351
"Edgerton, Henry White",-0.368,12,1380391
"Edmondson, James L.",0.333,11,1380396
"Edwards, George C.",-0.5215,6,1380406
"Edwards, Harry T.",-0.504,12,1380411
"Elrod, Jennifer",0.426,5,1392631
"Ely, Walter",-0.3405,9,1380481
"Engel, Albert J.",0.327,6,1380491
"Ervin, Samuel J., III",-0.237,4,1380526
"Eschbach, Jesse E.",0.401,7,1380536
"Evans, Terrance",-0.282,7,1380571
"Fagg, George B.",0.3395,8,1380596
"Fahy, Charles",-0.374,12,1380601
"Fairchild, Thomas",-0.5825,7,1380606
"Farris, Joseph Jerome",-0.3105,9,1380636
"Fay, Peter T.",0.506,5,1380646
"Fee, James Alger",0.225,9,1380651
"Feinberg, Wilfred",-0.472,2,1380661
"Ferguson, Warren J.",-0.387,9,1380676
"Fernandez, Ferdinand F.",0.352,9,1380686
"Field, John A.",0.552,4,1380696
"Finnegan, Philip",-0.4465,7,1380726
"Fisher, Michael",0.20300001,3,1392071
"Fisher, Raymond",-0.35799998,9,1391006
"Flaum, Joel M.",0.099,7,1380786
"Fletcher, Betty B.",-0.3105,9,1380791
"Fletcher, William",-0.35799998,9,1390781
"Floyd, Henry",-0.354,4,1391986
"Forman, Phillip",-0.108,3,1380851
"Frank, Jerome",-0.45200002,2,1380891
"Freedman, Abraham",-0.576,3,1380916
"Friedland, Michelle",-0.35799998,9,1394436
"Friendly, Henry",0.0035,2,1380956
"Fuentes, Julio M.",-0.322,3,1391111
"Gajarsa, Arthur",-0.438,13,1390476
"Ganey, J. Cullen",-0.576,3,1381016
"Gardner, Archibald",0.2225,8,1381041
"Garland, Merrick",-0.438,12,1381046
"Garth, Leonard I.",-0.108,3,1381061
"Garwood, William L.",0.444,5,1381071
"Garza, Emilio M.",0.551,5,1381076
"Garza, Reynaldo",-0.163,5,1381081
"Gee, Thomas G.",0.444,5,1381106
"Gewin, Walter P.",-0.23449999,5,1381151
"Gibbons, John J.",-0.108,3,1381166
"Gibbons, Julia Smith",0.3845,6,1381171
"Gibson, Floyd",-0.315,8,1381186
"Gibson, John R.",0.196,8,1381196
"Gilman, Ronald Lee",-0.438,6,1390481
"Ginsburg, Douglas, H.",0.692,12,1381266
"Ginsburg, Ruth Bader",-0.504,12,1381271
"Godbold, John",-0.23449999,5,1381301
"Goldberg, Irving",-0.416,5,1381326
"Goodrich, Herbert",-0.656,3,1381351
"Goodwin, Alfred T.",0.09550001,9,1381356
"Gorsuch, Neil",0.693,10,1392461
"Gould, Ronald",-0.342,9,1391066
"Graber, Susan",-0.318,9,1390626
"Graves, James",-0.354,5,1393611
"Greenaway, Joseph",-0.37199998,3,1381496
"Greenberg, Morton I.",0.692,3,1381501
"Gregory, Roger L.",0.3355,4,1391276
"Griffin, Richard",0.693,6,1392281
"Griffith, Thomas",0.693,12,1392286
"Gruender, Raymond",0.337,8,1392106
"Gurfein, Murray I.",-0.124,2,1381591
"Guy, Ralph B., Jr.",0.692,6,1381596
"Hall, Cynthia H.",0.352,9,1381661
"Hall, Kenneth K.",0.506,4,1381671
"Hall, Peter",0.693,2,1392201
"Hamilton, Clyde H.",0.391,4,1381721
"Hamilton, David",-0.158,7,1381726
"Hamley, Frederick",0.281,9,1381741
"Hamlin, Oliver D.",0.1625,9,1381746
"Hand, Augustus",0.396,2,1381761
"Hand, Learned",0.434,2,1381766
"Hansen, David R.",0.342,8,1381806
"Hardiman, Thomas",0.068,3,1392056
"Harlan, John Marshall",0.043,2,1381826
"Harris, Pamela",-0.354,4,1394626
"Hartigan, John P.",-0.29900002,1,1381886
"Hartz, Harris L.",0.257,10,1391356
"Hastie, William H.",-0.374,3,1381911
"Hastings, John",0.47100002,7,1381921
"Hatchett, Joseph W.",-0.1965,5,1381931
"Hawkins, Michael Daly",-0.216,9,1381956
"Haynes, Catharina",0.426,5,1392681
"Haynsworth, Clement",0.281,4,1381976
"Hays, Paul",-0.472,2,1381981
"Healy, William",-0.15,9,1382006
"Heaney, Gerald",-0.436,8,1382011
"Henderson, Albert J.",-0.118,5,1382041
"Henderson, Karen LeCraft",0.557,12,1382051
"Henley, Jesse Smith",0.506,8,1382066
