keys,DOTALL,IGNORECASE,values
Supreme Court of the United States,y,y,99
U\.S\. Circuit Court for the Districts of California,y,y,9
U\.S\. Circuit Court for the Fifth Circuit,y,y,5
U\.S\. Circuit Court for the First Circuit,y,y,1
U\.S\. Circuit Court for the Fourth Circuit,y,y,4
U\.S\. Circuit Court for the Second Circuit,y,y,2
U\.S\. Circuit Court for the Sixth Circuit,y,y,6
U\.S\. Circuit Court for the Third Circuit,y,y,3
U\.S\. Circuit Courts for the Eighth Circuit,y,y,8
U\.S\. Circuit Courts for the Fifth Circuit,y,y,5
U\.S\. Circuit Courts for the First Circuit,y,y,1
U\.S\. Circuit Courts for the Fourth Circuit,y,y,4
U\.S\. Circuit Courts for the Ninth Circuit,y,y,9
U\.S\. Circuit Courts for the Second Circuit,y,y,2
U\.S\. Circuit Courts for the Seventh Circuit,y,y,7
U\.S\. Circuit Courts for the Sixth Circuit,y,y,6
U\.S\. Circuit Courts for the Third Circuit,y,y,3
U\.S\. Court of Appeals for the District of Columbia Circuit,y,y,12
U\.S\. Court of Appeals for the Eighth Circuit,y,y,8
U\.S\. Court of Appeals for the Eleventh Circuit,y,y,11
U\.S\. Court of Appeals for the Federal Circuit,y,y,13
U\.S\. Court of Appeals for the Fifth Circuit,y,y,5
U\.S\. Court of Appeals for the First Circuit,y,y,1
U\.S\. Court of Appeals for the Fourth Circuit,y,y,4
U\.S\. Court of Appeals for the Ninth Circuit,y,y,9
U\.S\. Court of Appeals for the Second Circuit,y,y,2
U\.S\. Court of Appeals for the Seventh Circuit,y,y,7
U\.S\. Court of Appeals for the Sixth Circuit,y,y,6
U\.S\. Court of Appeals for the Tenth Circuit,y,y,10
U\.S\. Court of Appeals for the Third Circuit,y,y,3
U\.S\. Court of Customs and Patent Appeals,y,y,13
U\.S\. Court of Customs Appeals (later U\.S\. Court of Customs and Patent Appeals),y,y,13
U\.S\. Court of International Trade,y,y,2
U\.S\. Customs Court,y,y,99999
"U\.S\. District Court for the Albemarle, Cape Fear & Pamptico Districts of North Carolina",y,y,4
U\.S\. District Court for the Central District of California,y,y,9
U\.S\. District Court for the Central District of Illinois,y,y,7
U\.S\. District Court for the District of Alabama,y,y,11
U\.S\. District Court for the District of Alaska,y,y,9
U\.S\. District Court for the District of Arizona,y,y,9
U\.S\. District Court for the District of Arkansas,y,y,8
U\.S\. District Court for the District of California,y,y,9
U\.S\. District Court for the District of Colorado,y,y,10
U\.S\. District Court for the District of Columbia,y,y,12
U\.S\. District Court for the District of Columbia (Supreme Court of the District of Columbia),y,y,12
U\.S\. District Court for the District of Connecticut,y,y,2
U\.S\. District Court for the District of Delaware,y,y,3
U\.S\. District Court for the District of Florida,y,y,11
U\.S\. District Court for the District of Georgia,y,y,11
U\.S\. District Court for the District of Hawaii,y,y,9
U\.S\. District Court for the District of Idaho,y,y,9
U\.S\. District Court for the District of Illinois,y,y,7
U\.S\. District Court for the District of Indiana,y,y,7
U\.S\. District Court for the District of Iowa,y,y,8
U\.S\. District Court for the District of Kansas,y,y,10
U\.S\. District Court for the District of Kentucky,y,y,6
U\.S\. District Court for the District of Louisiana,y,y,5
U\.S\. District Court for the District of Maine,y,y,1
U\.S\. District Court for the District of Maryland,y,y,4
U\.S\. District Court for the District of Massachusetts,y,y,1
U\.S\. District Court for the District of Michigan,y,y,6
U\.S\. District Court for the District of Minnesota,y,y,8
U\.S\. District Court for the District of Mississippi,y,y,5
U\.S\. District Court for the District of Missouri,y,y,8
U\.S\. District Court for the District of Montana,y,y,9
U\.S\. District Court for the District of Nebraska,y,y,8
U\.S\. District Court for the District of Nevada,y,y,9
U\.S\. District Court for the District of New Hampshire,y,y,1
U\.S\. District Court for the District of New Jersey,y,y,3
U\.S\. District Court for the District of New Mexico,y,y,10
U\.S\. District Court for the District of New York,y,y,2
U\.S\. District Court for the District of North Carolina,y,y,4
U\.S\. District Court for the District of North Dakota,y,y,8
U\.S\. District Court for the District of Ohio,y,y,6
U\.S\. District Court for the District of Oregon,y,y,9
U\.S\. District Court for the District of Orleans,y,y,5
U\.S\. District Court for the District of Pennsylvania,y,y,3
U\.S\. District Court for the District of Puerto Rico,y,y,1
U\.S\. District Court for the District of Rhode Island,y,y,1
U\.S\. District Court for the District of South Carolina,y,y,4
U\.S\. District Court for the District of South Dakota,y,y,8
U\.S\. District Court for the District of Tennessee,y,y,6
U\.S\. District Court for the District of Texas,y,y,5
U\.S\. District Court for the District of Utah,y,y,10
U\.S\. District Court for the District of Vermont,y,y,1
U\.S\. District Court for the District of Virginia,y,y,4
U\.S\. District Court for the District of Washington,y,y,9
U\.S\. District Court for the District of West Virginia,y,y,4
U\.S\. District Court for the District of Wisconsin,y,y,7
U\.S\. District Court for the District of Wyoming,y,y,10
U\.S\. District Court for the Eastern District of Arkansas,y,y,8
U\.S\. District Court for the Eastern District of California,y,y,9
U\.S\. District Court for the Eastern District of Illinois,y,y,7
U\.S\. District Court for the Eastern District of Kentucky,y,y,6
U\.S\. District Court for the Eastern District of Louisiana,y,y,5
U\.S\. District Court for the Eastern District of Michigan,y,y,6
U\.S\. District Court for the Eastern District of Missouri,y,y,8
U\.S\. District Court for the Eastern District of New Jersey,y,y,3
U\.S\. District Court for the Eastern District of New York,y,y,2
U\.S\. District Court for the Eastern District of North Carolina,y,y,4
U\.S\. District Court for the Eastern District of Oklahoma,y,y,10
U\.S\. District Court for the Eastern District of Pennsylvania,y,y,3
U\.S\. District Court for the Eastern District of South Carolina,y,y,4
U\.S\. District Court for the Eastern District of Tennessee,y,y,6
U\.S\. District Court for the Eastern District of Texas,y,y,5
U\.S\. District Court for the Eastern District of Virginia,y,y,4
U\.S\. District Court for the Eastern District of Washington,y,y,9
U\.S\. District Court for the Eastern District of Wisconsin,y,y,7
"U\.S\. District Court for the Edenton, New Bern & Wilmington Districts of North Carolina",y,y,3
U\.S\. District Court for the Middle District of Alabama,y,y,11
U\.S\. District Court for the Middle District of Florida,y,y,11
U\.S\. District Court for the Middle District of Georgia,y,y,11
U\.S\. District Court for the Middle District of Louisiana,y,y,5
U\.S\. District Court for the Middle District of North Carolina,y,y,4
U\.S\. District Court for the Middle District of Pennsylvania,y,y,3
U\.S\. District Court for the Middle District of Tennessee,y,y,6
U\.S\. District Court for the Northern District of Alabama,y,y,11
U\.S\. District Court for the Northern District of California,y,y,9
U\.S\. District Court for the Northern District of Florida,y,y,11
U\.S\. District Court for the Northern District of Georgia,y,y,11
U\.S\. District Court for the Northern District of Illinois,y,y,7
U\.S\. District Court for the Northern District of Indiana,y,y,7
U\.S\. District Court for the Northern District of Iowa,y,y,8
U\.S\. District Court for the Northern District of Mississippi,y,y,5
U\.S\. District Court for the Northern District of New York,y,y,2
U\.S\. District Court for the Northern District of Ohio,y,y,6
U\.S\. District Court for the Northern District of Oklahoma,y,y,10
U\.S\. District Court for the Northern District of Texas,y,y,5
U\.S\. District Court for the Northern District of West Virginia,y,y,4
U\.S\. District Court for the Southern District of Alabama,y,y,11
U\.S\. District Court for the Southern District of California,y,y,9
U\.S\. District Court for the Southern District of Florida,y,y,11
U\.S\. District Court for the Southern District of Georgia,y,y,11
U\.S\. District Court for the Southern District of Illinois,y,y,7
U\.S\. District Court for the Southern District of Indiana,y,y,7
U\.S\. District Court for the Southern District of Iowa,y,y,8
