values,DOTALL,IGNORECASE,keys
APA,n,y,ADMINISTRATIVE PROCEDURE ACT §§* \d\d*.?\b
Fed_App_P,n,y,FED\. R\. APP\. §§* \d\d*.?(?=\W?)
Fed_Civ_P,n,y,FED(?:\.|ERAL) R(?:\.|ULE) (?:OF )?CIV(?:\.|IL) P(?:\.|ROC\.|ROCEDURE) §§* \d\d*.*?(?:\(\w)?\)?
Fed_Crim_P,n,y,FED(?:\.|ERAL) R(?:\.|ULE) (?:OF )?CRIM(?:\.|INAL) P(?:\.|ROC\.|ROCEDURE) §§* \d\d*.*?(?:\(\w)?\)?
Fed_Evid,n,y,FED(?:\.|ERAL) R(?:\.|ULE) (?:OF )?EV?:(\.|IDENCE) §§* \d\d*.*?(\(?:\w)?\)?
IRC,n,n,I.R.C. §§* \d\d*.?(?=\W?)
statute_pat,n,n,\b\d*. U\.S\.C\.[SC]?\.? §§* \d\d*.*?(?=\W?)
UCC,n,n,U.C.C. §§* \d\d*.?(?=\W?)
Unif_Adopt,n,y,UNIF. ADOPTION ACT §§* \d\d*.?(?=\W?)
Unif_Probate,n,y,UNIF. PROBATE CODE §§* \d\d*.?(?=\W?)
Unif_Trust,n,y,UNIF. TRUST CODE §§* \d\d*.?(?=\W?)
